epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,2446.21,0.33334,0.66989,0.79625,0.98969,0.99908,0.995,0.96735,0.29594,0.65427,0.77844,0.000167022,0.000167022,0.000167022
108,2468.19,0.33866,0.77266,0.78743,0.98901,0.99838,0.995,0.96863,0.28351,0.6592,0.77662,0.000163353,0.000163353,0.000163353
109,2490.84,0.33063,0.68671,0.78988,0.98799,0.99841,0.995,0.97301,0.26531,0.66062,0.77602,0.000159683,0.000159683,0.000159683
110,2513.46,0.35995,0.69919,0.78627,0.98797,0.99905,0.995,0.97536,0.26059,0.65555,0.77636,0.000156014,0.000156014,0.000156014
111,2536.12,0.33271,0.70498,0.79534,0.98824,0.99962,0.995,0.97499,0.26232,0.65149,0.77636,0.000152344,0.000152344,0.000152344
112,2558.84,0.31694,0.65012,0.7731,0.98981,1,0.995,0.97537,0.26967,0.63592,0.77737,0.000148674,0.000148674,0.000148674
113,2581.44,0.32694,0.69871,0.7956,0.99005,1,0.995,0.96733,0.29088,0.64171,0.77863,0.000145005,0.000145005,0.000145005
114,2604.09,0.32788,0.64937,0.80679,0.99071,1,0.995,0.96318,0.29953,0.64638,0.77877,0.000141335,0.000141335,0.000141335
115,2626.73,0.32203,0.66386,0.79722,0.99054,1,0.995,0.96683,0.29215,0.64552,0.77816,0.000137666,0.000137666,0.000137666
116,2649.38,0.33518,0.66903,0.80194,0.98991,1,0.995,0.97791,0.26551,0.63328,0.77671,0.000133996,0.000133996,0.000133996
117,2671.93,0.33803,0.70752,0.78515,0.98954,1,0.995,0.97803,0.25591,0.63874,0.77617,0.000130326,0.000130326,0.000130326
118,2694.68,0.32961,0.68593,0.77767,0.98948,0.99921,0.995,0.97687,0.25604,0.64715,0.77633,0.000126657,0.000126657,0.000126657
119,2717.35,0.30916,0.6991,0.78217,0.9903,0.99826,0.995,0.97117,0.26438,0.65065,0.77691,0.000122987,0.000122987,0.000122987
120,2740.11,0.3104,0.74369,0.79045,0.98948,0.99815,0.995,0.97462,0.27617,0.64052,0.77795,0.000119318,0.000119318,0.000119318
121,2763.05,0.31394,0.69354,0.79171,0.99003,0.99897,0.995,0.97851,0.27043,0.62899,0.77765,0.000115648,0.000115648,0.000115648
122,2785.94,0.31995,0.63133,0.78564,0.99063,0.99941,0.995,0.97623,0.26283,0.61977,0.77677,0.000111978,0.000111978,0.000111978
123,2807.88,0.31016,0.71383,0.78964,0.99102,0.99894,0.995,0.97852,0.25726,0.61587,0.77573,0.000108309,0.000108309,0.000108309
124,2829.7,0.30194,0.65883,0.78396,0.9905,0.99985,0.995,0.97706,0.25345,0.61093,0.77521,0.000104639,0.000104639,0.000104639
125,2851.63,0.3059,0.68045,0.79904,0.98994,0.99986,0.995,0.98074,0.25604,0.61434,0.77546,0.00010097,0.00010097,0.00010097
126,2873.49,0.30495,0.61971,0.79432,0.9889,0.99975,0.995,0.97686,0.26133,0.61767,0.77571,9.73e-05,9.73e-05,9.73e-05
127,2895.24,0.33009,0.67784,0.79066,0.98835,0.99895,0.995,0.97525,0.26391,0.62111,0.77581,9.36304e-05,9.36304e-05,9.36304e-05
128,2917.01,0.30774,0.63364,0.79984,0.98848,0.99892,0.995,0.97802,0.25715,0.62167,0.77565,8.99608e-05,8.99608e-05,8.99608e-05
129,2938.9,0.31574,0.62829,0.78334,0.99003,0.99973,0.995,0.97941,0.25064,0.619,0.77516,8.62912e-05,8.62912e-05,8.62912e-05
130,2960.67,0.30713,0.66728,0.7865,0.99019,1,0.995,0.97933,0.24873,0.6177,0.77492,8.26216e-05,8.26216e-05,8.26216e-05
131,2982.42,0.2955,0.63115,0.77412,0.98926,1,0.995,0.97981,0.24796,0.61509,0.77451,7.8952e-05,7.8952e-05,7.8952e-05
132,3004.03,0.31169,0.64052,0.78381,0.98962,1,0.995,0.97973,0.24431,0.60675,0.77417,7.52824e-05,7.52824e-05,7.52824e-05
133,3025.76,0.31755,0.73289,0.79553,0.98961,1,0.995,0.98005,0.24417,0.6046,0.77392,7.16128e-05,7.16128e-05,7.16128e-05
134,3047.89,0.31933,0.65287,0.78675,0.98926,1,0.995,0.97974,0.2444,0.60392,0.77377,6.79432e-05,6.79432e-05,6.79432e-05
135,3070.77,0.29203,0.62618,0.79778,0.98938,1,0.995,0.9785,0.24589,0.60253,0.77395,6.42736e-05,6.42736e-05,6.42736e-05
136,3093.48,0.28907,0.62645,0.78298,0.99101,0.99973,0.995,0.97792,0.24805,0.60012,0.77422,6.0604e-05,6.0604e-05,6.0604e-05
137,3116.09,0.31172,0.64257,0.78489,0.99091,0.99849,0.995,0.9806,0.24908,0.60027,0.7742,5.69344e-05,5.69344e-05,5.69344e-05
138,3138.62,0.29154,0.69299,0.79825,0.99076,0.99874,0.995,0.97878,0.24951,0.60017,0.77416,5.32648e-05,5.32648e-05,5.32648e-05
139,3161.2,0.31253,0.62738,0.77302,0.99012,1,0.995,0.9781,0.25189,0.60074,0.77458,4.95952e-05,4.95952e-05,4.95952e-05
140,3183.83,0.30743,0.61435,0.79233,0.9896,1,0.995,0.9779,0.2464,0.59912,0.7743,4.59256e-05,4.59256e-05,4.59256e-05
141,3206.18,0.30781,0.73172,0.76347,0.98977,1,0.995,0.98007,0.24386,0.59624,0.77412,4.2256e-05,4.2256e-05,4.2256e-05
142,3227.91,0.29734,0.75159,0.7647,0.98977,1,0.995,0.98474,0.24042,0.59683,0.77371,3.85864e-05,3.85864e-05,3.85864e-05
143,3249.49,0.30988,0.78508,0.76738,0.98976,1,0.995,0.98482,0.23802,0.59943,0.77331,3.49168e-05,3.49168e-05,3.49168e-05
144,3271.19,0.28201,0.76613,0.77992,0.98957,1,0.995,0.98139,0.24017,0.60582,0.77334,3.12472e-05,3.12472e-05,3.12472e-05
145,3292.67,0.31031,0.81965,0.78561,0.9895,1,0.995,0.98206,0.24329,0.60941,0.77363,2.75776e-05,2.75776e-05,2.75776e-05
146,3314.29,0.29728,0.76549,0.78587,0.98932,1,0.995,0.98215,0.24413,0.61196,0.77341,2.3908e-05,2.3908e-05,2.3908e-05
147,3335.83,0.30162,0.77027,0.7662,0.98956,0.99968,0.995,0.98201,0.24346,0.61387,0.77357,2.02384e-05,2.02384e-05,2.02384e-05
148,3357.46,0.28991,0.75038,0.76894,0.98893,0.99905,0.995,0.98199,0.23934,0.61374,0.77315,1.65688e-05,1.65688e-05,1.65688e-05
149,3379.09,0.26094,0.71895,0.79275,0.98869,0.9994,0.995,0.98144,0.23793,0.61305,0.77309,1.28992e-05,1.28992e-05,1.28992e-05
150,3400.59,0.28213,0.75731,0.76871,0.98863,0.99972,0.995,0.9837,0.23744,0.61214,0.77304,9.2296e-06,9.2296e-06,9.2296e-06
